知乎资料,来源,最终结果,权重,句子,合集,感情状况,最近的感觉,什么让你有这种感觉
https://www.zhihu.com/question/657898757/answer/3571544253 https://www.zhihu.com/question/333162231/answer/2636928906 https://www.zhihu.com/question/657898757/answer/3571544253 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/472210725/answer/2108768226,3号,我不在细节上纠结，大方向已经足够我向前迈步。,1,我不在细节上纠结，大方向已经足够我向前迈步。,个人成长,"['快乐地单身着', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情']",['很好'],['自己']
,2号,我坚持自我，不受外界影响。,2,我坚持自我，不受外界影响。,自信,['快乐地单身着'],"['开心', '很好']",['自己']
,2号,我勇于面对现实，因为这让我拥有更清晰的改变方向。,1,我勇于面对现实，因为这让我拥有更清晰的改变方向。,成为英雄,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
https://www.zhihu.com/question/644505985/answer/3434650809 https://www.zhihu.com/question/613282723/answer/3153452413 https://www.zhihu.com/question/28642580/answer/1874813027 https://www.zhihu.com/question/467737273/answer/1963496023 https://www.zhihu.com/question/550654726/answer/2651564889,3号,即使在生活的低谷，我也能找到爱的路径，继续前行。,1,即使在生活的低谷，我也能找到爱的路径，继续前行。,治愈之旅,"['处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['不好', '糟糕']",['感情']
https://www.zhihu.com/question/22763168/answer/3271457676 https://www.zhihu.com/question/366959495/answer/991509076 https://www.zhihu.com/question/315494956/answer/1465036439 https://www.zhihu.com/question/32159310/answer/1065726051,3号,每个晨曦的到来，都是我对自己新的开始和温暖的拥抱。,2,每个晨曦的到来，都是我对自己新的开始和温暖的拥抱。,自我关怀,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
,2号,我积极创造和分享价值，与世界建立正面的联系。,1,我积极创造和分享价值，与世界建立正面的联系。,个人成长,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好', '一般']","['朋友', '工作']"
,2号,我对于变化的接纳是我的应变之盾。,1,我对于变化的接纳是我的应变之盾。,个人成长,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']","['一般', '很好', '开心']",['自己']
,2号,我愿意为更高的目标和理想承担责任，这是我成长的必经之路。,2,我愿意为更高的目标和理想承担责任，这是我成长的必经之路。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
https://www.zhihu.com/question/418006057/answer/1827778336 https://www.zhihu.com/question/585881523/answer/2907953417 https://www.zhihu.com/question/522688509/answer/2462647129 ,3号,我曾经跌倒，却也因此学会了在关系中找到扶持的力量。,1,我曾经跌倒，却也因此学会了在关系中找到扶持的力量。,人际交往,"['处在一段艰难的亲密关系中', '有点辛苦的暗恋']","['不好', '一般']",['感情']
https://www.zhihu.com/question/35897124/answer/3632185460 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/315494956/answer/1465036439 https://www.zhihu.com/question/35897124/answer/3632185460 https://www.zhihu.com/question/52506086/answer/2758913171,3号,我的每一处轮廓都是独一无二的画卷，无需掩饰或改变。,2,我的每一处轮廓都是独一无二的画卷，无需掩饰或改变。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '开心']",['自己']
https://www.zhihu.com/question/418384281/answer/1447819441 https://www.zhihu.com/question/521749945/answer/2418263834 https://www.zhihu.com/question/296898800/answer/2268747553 https://www.zhihu.com/question/470059547/answer/1980754643 https://www.zhihu.com/question/296898800/answer/2268747553,3号,我用理解勾勒世界，人生便不再是孤岛。,1,我用理解勾勒世界，人生便不再是孤岛。,人际交往,"['快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']",['很好'],['朋友']
,2号,我的决策基于数据和逻辑，而非焦虑或恐惧。,2,我的决策基于数据和逻辑，而非焦虑或恐惧。,自信,"['快乐地单身着', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手']",['很好'],['自己']
,2号,我相信他人的尊重和需要源于我的付出与贡献。,1,我相信他人的尊重和需要源于我的付出与贡献。,人际交往,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']",['很好'],"['朋友', '感情']"
,2号,即使面对失去，我也不会选择放弃，因为我坚信总有值得坚持的理由。,2,即使面对失去，我也不会选择放弃，因为我坚信总有值得坚持的理由。,成为英雄,"['单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['一般', '不好', '糟糕']","['自己', '感情']"
,2号,我知道真正的爱是尊重对方的选择，无论其结果如何。,1,我知道真正的爱是尊重对方的选择，无论其结果如何。,人际交往,"['处在一段艰难的亲密关系中', '正在恋爱']",['一般'],['感情']
https://www.zhihu.com/question/309682535/answer/582181598 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/315494956/answer/1465036439 https://www.zhihu.com/question/22608645/answer/776241381,3号,我就是我，独立于世，不因他人的评说而改变分毫。,2,我就是我，独立于世，不因他人的评说而改变分毫。,自信,['快乐地单身着'],"['很好', '开心']",['自己']
https://www.zhihu.com/question/529848226/answer/2458681726 https://www.zhihu.com/question/444218782/answer/1783979493 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/404227657/answer/1359822328 https://www.zhihu.com/question/595612282/answer/2984361736,3号,纵使心头千头万绪，我也能从中抽丝剥茧，找到自我的宁静。,2,纵使心头千头万绪，我也能从中抽丝剥茧，找到自我的宁静。,平和心境,"['快乐地单身着', '正在恋爱']",['很好'],['自己']
,2号,我欣赏己有，不妒他人所有。,1,我欣赏己有，不妒他人所有。,平和心境,"['快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['很好', '一般']",['自己']
 https://www.zhihu.com/question/33449319/answer/2684088591 https://www.zhihu.com/question/287849222/answer/458128741 https://www.zhihu.com/question/20248729/answer/2067118565 https://www.zhihu.com/question/633364716/answer/3424618060,3号,我独处是在积蓄与他人共鸣的力量。,2,我独处是在积蓄与他人共鸣的力量。,人际交往,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']","['一般', '很好']","['朋友', '自己']"
https://zhuanlan.zhihu.com/p/527667081 https://www.zhihu.com/question/588020659/answer/2932159694 https://www.zhihu.com/question/28719593/answer/3555896867 https://www.zhihu.com/question/28719593/answer/3555896867 https://www.zhihu.com/question/60197709/answer/2778310539,3号,我的内心如大地般宽广，无需依附也能繁荣昌盛。,1,我的内心如大地般宽广，无需依附也能繁荣昌盛。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '开心']",['自己']
https://www.zhihu.com/question/431601536/answer/1690740358 https://www.zhihu.com/question/31473116/answer/2189477071 https://www.zhihu.com/question/471778847/answer/2770933810,3号,我是自己命运的主角，不受剧本的约束，自由演绎。,1,我是自己命运的主角，不受剧本的约束，自由演绎。,成为英雄,['快乐地单身着'],"['开心', '很好']",['自己']
https://www.zhihu.com/question/27249939/answer/2117610025 https://www.zhihu.com/question/522688509/answer/2462647129 https://www.zhihu.com/question/532753302/answer/2498274396,3号,我在平凡中发现不凡。,2,我在平凡中发现不凡。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']",['很好'],['自己']
https://www.zhihu.com/question/522753742/answer/3534103042 https://www.zhihu.com/question/302561314/answer/1879241996 https://www.zhihu.com/question/33177396/answer/2609265641 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/354168630/answer/2703001781,3号,我怀着尊重和理解去爱，这本身就是一种力量。,1,我怀着尊重和理解去爱，这本身就是一种力量。,成为英雄,"['正在恋爱', '单身但准备好了开始新的恋情']",['很好'],['感情']
https://www.zhihu.com/question/35858776/answer/3038573854 https://www.zhihu.com/question/472210725/answer/2108768226 https://www.zhihu.com/question/441535705/answer/1735536818 ,3号,我的心逐渐归位，宽广如海，容得下新的梦想与希望。,1,我的心逐渐归位，宽广如海，容得下新的梦想与希望。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
https://www.zhihu.com/question/653772835/answer/3477653544 https://www.zhihu.com/question/653773119/answer/3486453372 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/19866801/answer/2177414614 https://www.zhihu.com/question/657210929/answer/3520739385,3号,我像播种者般辛劳，也如守望者般休息。,2,我像播种者般辛劳，也如守望者般休息。,成为英雄,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['开心', '很好']",['自己']
https://www.zhihu.com/question/434449322/answer/3286532057 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/522688509/answer/2462647129,3号,我沉醉于知识海洋，这份热情，是我不断前行的动力。,1,我沉醉于知识海洋，这份热情，是我不断前行的动力。,个人成长,['快乐地单身着'],"['开心', '很好']","['学业', '自己']"
https://www.zhihu.com/question/22763168/answer/3271457676 https://www.zhihu.com/question/366959495/answer/991509076 https://www.zhihu.com/question/315494956/answer/1465036439 https://www.zhihu.com/question/32159310/answer/1065726051,3号,我将生活一点点编织成网，每一个结都是自我关怀的印记。,2,我将生活一点点编织成网，每一个结都是自我关怀的印记。,自我关怀,['快乐地单身着'],['很好'],['自己']
,2号,我不畏惧未来的不确定性，我知道那是机遇的温床。,1,我不畏惧未来的不确定性，我知道那是机遇的温床。,个人成长,"['单身但准备好了开始新的恋情', '快乐地单身着']","['很好', '开心']",['自己']
,2号,我愿分享内心温暖照耀众人。,1,我愿分享内心温暖照耀众人。,人际交往,"['正在恋爱', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']","['开心', '很好']","['感情', '朋友']"
,2号,我相信自己的价值，无论逆境与否。,1,我相信自己的价值，无论逆境与否。,自信,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['很好', '一般']",['自己']
,2号,我选择宽恕不理解，并坚守自己的成长道路。,1,我选择宽恕不理解，并坚守自己的成长道路。,成为英雄,"['单身但准备好了开始新的恋情', '处在一段艰难的亲密关系中']","['很好', '一般']",['自己']
,2号,我不会因他人看法怀疑自己。,2,我不会因他人看法怀疑自己。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情', '处在一段艰难的亲密关系中', '正在恋爱', '最近刚分手']","['开心', '很好']","['感情', '自己']"
https://www.zhihu.com/question/20307773/answer/2553466989 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/304564566/answer/2041446980 ,3号,我能辨认伤害，勇敢说不。,1,我能辨认伤害，勇敢说不。,成为英雄,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
,2号,我相信理性的选择能减少解决问题中的偏激和无用功。,1,我相信理性的选择能减少解决问题中的偏激和无用功。,个人成长,['一般'],['一般'],['自己']
,2号,我有潜力去实现那些我现在还不敢想象的梦想。,1,我有潜力去实现那些我现在还不敢想象的梦想。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
https://www.zhihu.com/question/522753742/answer/3534103042 https://www.zhihu.com/question/302561314/answer/1879241996 https://www.zhihu.com/question/354168630/answer/2703001781 https://www.zhihu.com/question/660929832/answer/3563707846 https://www.zhihu.com/question/540214555/answer/2548225605,3号,我会用真挚的心打开爱的门扉，但我同样明白，这扇门的开关权在你手心。,2,我会用真挚的心打开爱的门扉，但我同样明白，这扇门的开关权在你手心。,情感疗愈,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着']",['一般'],['感情']
https://www.zhihu.com/question/541520931/answer/2558791041 https://www.zhihu.com/question/425223995/answer/1681849717 https://www.zhihu.com/question/425223995/answer/1681849717 https://www.zhihu.com/question/658500955/answer/3529099858 https://www.zhihu.com/question/543823963/answer/2579461654,3号,即使河流曲折，我也能寻得流向大海的路径。,2,即使河流曲折，我也能寻得流向大海的路径。,个人成长,['快乐地单身着'],['一般'],['自己']
,2号,做出牺牲时我坦然自若，因为这是我对世界的贡献。,1,做出牺牲时我坦然自若，因为这是我对世界的贡献。,成为英雄,"['正在恋爱', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']",['一般'],['感情']
,2号,我感激每一个承担我期望的人，因为他们的尝试已是对我最大的贡献。,2,我感激每一个承担我期望的人，因为他们的尝试已是对我最大的贡献。,人际交往,"['处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手']",['很好'],"['朋友', '家庭', '感情']"
https://www.zhihu.com/question/629406525/answer/3315305494 https://www.zhihu.com/question/487861949/answer/2511453315 https://www.zhihu.com/question/28356478/answer/810670391 https://www.zhihu.com/question/411506270/answer/1378172780 ,3号,我学会了在生活的茶杯里沉浮，品味苦涩后的淡淡甘甜。,2,我学会了在生活的茶杯里沉浮，品味苦涩后的淡淡甘甜。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['一般', '很好']",['自己']
,2号,我的价值不在于消费他人的成就，而是贡献自己的光和热。,2,我的价值不在于消费他人的成就，而是贡献自己的光和热。,个人成长,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
,2号,我坚持不懈，因为我知道热爱和执着将助力我实现梦想。,1,我坚持不懈，因为我知道热爱和执着将助力我实现梦想。,个人成长,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']","['感情', '自己']"
https://www.zhihu.com/question/20248729/answer/2067118565 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/20248729/answer/2067118565 ,3号,我学会与自己和他人的误会和解。,2,我学会与自己和他人的误会和解。,人际交往,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']",['很好'],"['感情', '朋友', '自己']"
,2号,我用坚韧和勇气接纳不完美的自己，拥抱不完美的世界。,2,我用坚韧和勇气接纳不完美的自己，拥抱不完美的世界。,成为英雄,"['快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']","['很好', '一般']",['自己']
,2号,我给的爱，如同春风拂面，无需反馈，只需感受。,1,我给的爱，如同春风拂面，无需反馈，只需感受。,情感疗愈,['正在恋爱'],['很好'],['感情']
https://www.zhihu.com/question/644505985/answer/3434650809 https://www.zhihu.com/question/613282723/answer/3153452413 https://www.zhihu.com/question/28642580/answer/1874813027 https://www.zhihu.com/question/467737273/answer/1963496023 https://www.zhihu.com/question/550654726/answer/2651564889,3号,我能体谅别人的不足，在理解中给予爱的指引。,1,我能体谅别人的不足，在理解中给予爱的指引。,人际交往,"['正在恋爱', '处在一段艰难的亲密关系中']","['很好', '一般']","['朋友', '感情']"
,2号,我释放的善意无需等待回应，因为它本出自真心。,2,我释放的善意无需等待回应，因为它本出自真心。,人际交往,"['快乐地单身着', '单身但准备好了开始新的恋情', '正在恋爱', '有点辛苦的暗恋', '正在经历分手却不难过']","['开心', '很好']",['自己']
https://www.zhihu.com/question/644505985/answer/3434650809 https://www.zhihu.com/question/613282723/answer/3153452413 https://www.zhihu.com/question/28642580/answer/1874813027 https://www.zhihu.com/question/467737273/answer/1963496023 https://www.zhihu.com/question/550654726/answer/2651564889,3号,我在内疚中学会了反思，这是自我提升不可或缺的一部分。,2,我在内疚中学会了反思，这是自我提升不可或缺的一部分。,个人成长,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['一般', '不好', '糟糕']","['朋友', '感情']"
https://www.zhihu.com/question/509287672/answer/2293501436 https://www.zhihu.com/question/359056178/answer/988946095 https://www.zhihu.com/question/522688509/answer/2462647129 https://www.zhihu.com/question/423114379/answer/1509044251,3号,我在学习中决策，在决策中成长，每一步都是坚实的。,2,我在学习中决策，在决策中成长，每一步都是坚实的。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']","['学业', '自己']"
,2号,我用自己的平静给周遭的人带来安宁。,2,我用自己的平静给周遭的人带来安宁。,平和心境,"['正在恋爱', '快乐地单身着', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情']","['很好', '一般']","['朋友', '自己']"
https://www.zhihu.com/question/434449322/answer/3286532057 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/522688509/answer/2462647129,3号,我轻松放下过深的钻研，用行动描绘蓝图。,1,我轻松放下过深的钻研，用行动描绘蓝图。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
https://zhuanlan.zhihu.com/p/549210717 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/661092845/answer/3565404608 https://www.zhihu.com/question/472210725/answer/2108768226 https://www.zhihu.com/question/276497897/answer/3441749365,3号,我不介意暂时的迷茫，它只是我前行路上的一阵微风。,1,我不介意暂时的迷茫，它只是我前行路上的一阵微风。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情', '处在一段艰难的亲密关系中']","['一般', '不好']","['朋友', '自己']"
https://www.zhihu.com/question/471922836/answer/2381004386 https://www.zhihu.com/question/538025581/answer/2539194102 https://www.zhihu.com/question/52506086/answer/2758913171,3号,我是他人生命中的温暖与光明。,2,我是他人生命中的温暖与光明。,人际交往,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']","['很好', '开心']","['朋友', '感情']"
,2号,我倾听他人观点，理解每个人见解背后的智慧。,1,我倾听他人观点，理解每个人见解背后的智慧。,人际交往,"['快乐地单身着', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['很好', '一般']","['朋友', '感情']"
,2号,今天，我选择放下昨天，拥抱无限可能的明天。,2,今天，我选择放下昨天，拥抱无限可能的明天。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['一般', '很好']",['自己']
https://zhuanlan.zhihu.com/p/549210717 https://www.zhihu.com/question/618717552/answer/3232159856 https://www.zhihu.com/question/509380670/answer/3584463951 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/541354816/answer/2558643266 ,3号,我走自己的路，不畏他人眼光。,2,我走自己的路，不畏他人眼光。,自信,['快乐地单身着'],['很好'],['自己']
https://www.zhihu.com/question/522753742/answer/3534103042 https://www.zhihu.com/question/302561314/answer/1879241996 https://www.zhihu.com/question/33177396/answer/2609265641 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/354168630/answer/2703001781,3号,每一个表达爱意的尝试，都是我成长过程中的宝贵记忆。,1,每一个表达爱意的尝试，都是我成长过程中的宝贵记忆。,个人成长,"['正在恋爱', '单身但准备好了开始新的恋情']","['开心', '很好']",['感情']
https://www.zhihu.com/question/408290558/answer/1354742955 https://www.zhihu.com/question/482200684/answer/2084759891 https://www.zhihu.com/question/484926471/answer/2105764356 https://www.zhihu.com/question/658500955/answer/3529099858 https://www.zhihu.com/question/408290558/answer/1354742955 https://www.zhihu.com/question/537845427/answer/2532609297,3号,每一步信任的建立，都是我内心成熟的象征。,1,每一步信任的建立，都是我内心成熟的象征。,个人成长,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']","['很好', '一般']","['自己', '感情']"
,2号,我选择与痛苦和困难共存，因为我知道我的成长源于克服挑战。,2,我选择与痛苦和困难共存，因为我知道我的成长源于克服挑战。,个人成长,"['处在一段艰难的亲密关系中', '最近刚分手']","['一般', '不好']",['自己']
,2号,我知道真正的刚毅是看透失望本质后不失去希望。,1,我知道真正的刚毅是看透失望本质后不失去希望。,成为英雄,"['快乐地单身着', '单身但准备好了开始新的恋情']","['一般', '不好']","['自己', '感情']"
,2号,我对自己的认知不断更新，每一天都是新的自我。,1,我对自己的认知不断更新，每一天都是新的自我。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
,2号,我选择不被失望所困，而是将其转化为前进的动力。,1,我选择不被失望所困，而是将其转化为前进的动力。,成为英雄,"['快乐地单身着', '单身但准备好了开始新的恋情', '处在一段艰难的亲密关系中', '最近刚分手']","['一般', '不好']","['朋友', '家庭', '感情', '工作']"
https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/411506270/answer/1378172780 ,3号,我允许自己有悲伤，也允许自己有快乐，因为这都是生活的滋味。,2,我允许自己有悲伤，也允许自己有快乐，因为这都是生活的滋味。,治愈之旅,"['处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['不好', '很好']","['感情', '朋友']"
https://www.zhihu.com/question/627503248/answer/3268795716 https://www.zhihu.com/question/315284987/answer/1864804256 https://www.zhihu.com/question/28642580/answer/1874813027 https://www.zhihu.com/question/467737273/answer/1963496023 https://www.zhihu.com/question/60197709/answer/2778310539,3号,在我心中，每一份理解都是坚韧的基石。,1,在我心中，每一份理解都是坚韧的基石。,人际交往,"['快乐地单身着', '正在恋爱']",['很好'],"['朋友', '感情']"
https://www.zhihu.com/question/26913812/answer/3380669507 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/273390297/answer/1839256319 https://www.zhihu.com/question/52506086/answer/2758913171,3号,我今日所珍视的不仅是别人的期望，还有自己的心声。,1,我今日所珍视的不仅是别人的期望，还有自己的心声。,自信,"['快乐地单身着', '正在恋爱']","['很好', '开心']",['自己']
https://www.zhihu.com/question/23105958/answer/2543721659 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/60197709/answer/2778310539,3号,我内心的充实，是任何物质所不能比拟的。,2,我内心的充实，是任何物质所不能比拟的。,平和心境,"['快乐地单身着', '正在恋爱', '单身但准备好了开始新的恋情']","['很好', '开心']",['自己']
https://www.zhihu.com/question/20307773/answer/2553466989 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/304564566/answer/2041446980 ,3号,我认识到曾经的失误，但它们都是我成长的足迹。,1,我认识到曾经的失误，但它们都是我成长的足迹。,个人成长,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']",['一般'],['自己']
https://www.zhihu.com/question/418384281/answer/1447819441 https://www.zhihu.com/question/521749945/answer/2418263834 https://www.zhihu.com/question/296898800/answer/2268747553 https://www.zhihu.com/question/470059547/answer/1980754643 https://www.zhihu.com/question/296898800/answer/2268747553,3号,路还长，人往密处走；心渐宽，情在融中生。,1,路还长，人往密处走；心渐宽，情在融中生。,人际交往,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']","['一般', '很好']","['朋友', '感情']"
,2号,我能自我提供源源不断的幸福感，不需要外求。,2,我能自我提供源源不断的幸福感，不需要外求。,自信,['快乐地单身着'],['很好'],['自己']
,2号,我选择用积极影响他人的方式来克服消沉和失望。,1,我选择用积极影响他人的方式来克服消沉和失望。,成为英雄,"['单身但准备好了开始新的恋情', '最近刚分手']","['一般', '不好', '糟糕']","['朋友', '感情']"
https://www.zhihu.com/question/431601536/answer/1690740358 https://www.zhihu.com/question/31473116/answer/2189477071 https://www.zhihu.com/question/471778847/answer/2770933810,3号,我步履不停，因为我知道我比任何过往都重要。,2,我步履不停，因为我知道我比任何过往都重要。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情', '一般']","['开心', '很好']",['自己']
,2号,我所理解的爱是激励和成长，而非无休止的自满和安逸。,1,我所理解的爱是激励和成长，而非无休止的自满和安逸。,个人成长,"['快乐地单身着', '正在恋爱']","['一般', '很好']",['感情']
,2号,我愿意勇敢地面对挑战，选择有价值的牺牲而不是逃避。,2,我愿意勇敢地面对挑战，选择有价值的牺牲而不是逃避。,成为英雄,"['处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情']",['一般'],"['感情', '自己']"
https://www.zhihu.com/question/529848226/answer/2458681726 https://www.zhihu.com/question/444218782/answer/1783979493 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/404227657/answer/1359822328 https://www.zhihu.com/question/595612282/answer/2984361736,3号,在纷扰中寻找答案，我学会了用宁静的力量化解。,1,在纷扰中寻找答案，我学会了用宁静的力量化解。,平和心境,"['处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['一般', '不好', '糟糕']","['自己', '感情']"
https://www.zhihu.com/question/430513997/answer/1591066367 https://www.zhihu.com/question/404884534/answer/2658513818 https://www.zhihu.com/question/407934212/answer/1350882472 https://www.zhihu.com/question/32159310/answer/1065726051,3号,我轻抚种子，不知不觉中它们已在心田生根发芽。,1,我轻抚种子，不知不觉中它们已在心田生根发芽。,个人成长,"['快乐地单身着', '有点辛苦的暗恋']","['开心', '很好']","['情感', '朋友']"
,2号,我在面对亲密关系中的挑战时保持包容和耐心。,1,我在面对亲密关系中的挑战时保持包容和耐心。,情感疗愈,"['正在恋爱', '处在一段艰难的亲密关系中']",['一般'],['感情']
https://www.zhihu.com/question/529848226/answer/2458681726 https://www.zhihu.com/question/444218782/answer/1783979493 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/404227657/answer/1359822328 https://www.zhihu.com/question/595612282/answer/2984361736,3号,每一丝疑惑都是成长的契机，我在寻求解答的路上日渐坚强。,2,每一丝疑惑都是成长的契机，我在寻求解答的路上日渐坚强。,个人成长,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']","['工作', '学业', '自己']"
,2号,我珍爱自我，因为我相信自身的价值高于一切。,1,我珍爱自我，因为我相信自身的价值高于一切。,自信,['快乐地单身着'],"['开心', '很好']",['自己']
,2号,我不会允许任何人的悲观预言定义我的未来和潜能。,2,我不会允许任何人的悲观预言定义我的未来和潜能。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情']",['很好'],['自己']
https://www.zhihu.com/question/19667945/answer/2120044151 https://www.zhihu.com/question/21732989/answer/1967603425 https://www.zhihu.com/question/539615323/answer/2573303666 https://www.zhihu.com/question/20080219/answer/2229301858 https://www.zhihu.com/question/265741216/answer/1668314847 https://www.zhihu.com/question/21732989/answer/1967603425,3号,我深知控制易得，自由难求，因此选择尊重每一次独立的飞翔。,2,我深知控制易得，自由难求，因此选择尊重每一次独立的飞翔。,成为英雄,"['处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手']",['一般'],['感情']
https://www.zhihu.com/question/639212137/answer/3360367662 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/537197073/answer/2525137981 https://www.zhihu.com/question/267342174/answer/1656513497 https://www.zhihu.com/question/20248729/answer/2067118565,3号,我的路我自己走，不必担心他人的路线图。,2,我的路我自己走，不必担心他人的路线图。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好', '一般']",['自己']
,2号,我认识到爱和理解是成长的动力，我不需要溺爱来满足。,1,我认识到爱和理解是成长的动力，我不需要溺爱来满足。,个人成长,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']","['开心', '很好', '一般']","['感情', '自己']"
