类别,场景,子场景,场景描述,用户需求,心理作用机制与功能,句子级别,句子范式,,,,,,,,,,,
个人成长,工作学习,任务管理,用户因多任务并行或优先级混乱导致效率低下，常表现为拖延或压力过大,减轻因时间安排不当带来的压力,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式]",,,,,,,,,,,
个人成长,工作学习,时间管理,用户因时间分配不合理引发疲惫或拖延，常表现为时间利用率低,提高自我效能感，相信能有效利用时间,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
个人成长,工作学习,时间管理,用户因时间分配不合理引发疲惫或拖延，常表现为时间利用率低,设定改善时间管理的渐进式目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
个人成长,工作学习,时间管理,用户因时间分配不合理引发疲惫或拖延，常表现为时间利用率低,制定具体的时间管理计划,认知重构-增强自信,2,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
个人成长,工作学习,时间管理,用户因时间分配不合理引发疲惫或拖延，常表现为时间利用率低,实现高效的时间管理目标,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
个人成长,工作学习,时间管理,用户因时间分配不合理引发疲惫或拖延，常表现为时间利用率低,减轻长时间工作带来的疲惫感,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
个人成长,工作学习,时间管理,用户因时间分配不合理引发疲惫或拖延，常表现为时间利用率低,接纳当前的职业状态并寻找新的兴趣点,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式]",,,,,,,,,,,
个人成长,工作学习,学业压力,用户因学业任务繁重或目标模糊产生焦虑，常表现为学习效率低下,缓解面对学业任务时的压力,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
个人成长,工作学习,学业压力,用户因学业任务繁重或目标模糊产生焦虑，常表现为学习效率低下,设定提高学业表现的渐进式目标，减轻面对学业任务时的压力,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
个人成长,工作学习,学业压力,用户因学业任务繁重或目标模糊产生焦虑，常表现为学习效率低下,增强自信心，相信能够应对学业挑战,认知重构-增强自信,2,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
个人成长,工作学习,学业压力,用户因学业任务繁重或目标模糊产生焦虑，常表现为学习效率低下,制定并达成学业上的目标,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
个人成长,工作学习,学业压力,用户因学业任务繁重或目标模糊产生焦虑，常表现为学习效率低下,通过行动改善学习习惯,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
个人成长,工作学习,学业压力,用户因学业任务繁重或目标模糊产生焦虑，常表现为学习效率低下,完成特定学习任务以达成目标,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式]",,,,,,,,,,,
个人成长,工作学习,职业倦怠,用户因长期职业压力或动力缺失陷入倦怠，常表现为工作热情减退,增强自信心，找到重新激发工作热情的方法,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
个人成长,工作学习,职业倦怠,用户因长期职业压力或动力缺失陷入倦怠，常表现为工作热情减退,设定职业发展或调整的渐进式目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
个人成长,工作学习,职业倦怠,用户因长期职业压力或动力缺失陷入倦怠，常表现为工作热情减退,改变工作方式或寻找新的职业方向,认知重构-增强自信,2,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
个人成长,工作学习,职业倦怠,用户因长期职业压力或动力缺失陷入倦怠，常表现为工作热情减退,实现职业活力恢复的目标,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
个人成长,工作学习,职业倦怠,用户因长期职业压力或动力缺失陷入倦怠，常表现为工作热情减退,减轻缺乏动力时的焦虑感,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
个人成长,工作学习,职业倦怠,用户因长期职业压力或动力缺失陷入倦怠，常表现为工作热情减退,接纳当前的动力状态，并寻找新的激励点,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式]",,,,,,,,,,,
个人成长,创造力,创造性问题解决,用户因问题复杂性或思维局限导致解决方案匮乏，常表现为决策困难,增强解决问题的信心,认知重构-增强自信,2,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
个人成长,创造力,创造性问题解决,用户因问题复杂性或思维局限导致解决方案匮乏，常表现为决策困难,设定并实现创造性解决方案的目标,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
个人成长,创造力,创造性问题解决,用户因问题复杂性或思维局限导致解决方案匮乏，常表现为决策困难,采取具体步骤解决实际问题,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
个人成长,创造力,创造性问题解决,用户因问题复杂性或思维局限导致解决方案匮乏，常表现为决策困难,完成设定的问题解决目标,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式]",,,,,,,,,,,
擦拭信念,内在特质,唤醒勇气,用户因恐惧或自我设限回避挑战，常表现为行动力不足,提醒自己是个勇敢的人,认知重构-增强自信,2,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
擦拭信念,内在特质,唤醒勇气,用户因恐惧或自我设限回避挑战，常表现为行动力不足,将勇气目标转化为具体行动计划,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
擦拭信念,内在特质,唤醒勇气,用户因恐惧或自我设限回避挑战，常表现为行动力不足,通过小行动积累勇气（如尝试公开发言）,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
擦拭信念,内在特质,唤醒勇气,用户因恐惧或自我设限回避挑战，常表现为行动力不足,完成一次突破舒适区的挑战,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
擦拭信念,内在特质,坚固信心,用户因过往失败或外界否定导致信心动摇，常表现为自我怀疑,提醒自己保持信心,认知重构-增强自信,2,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
擦拭信念,内在特质,坚固信心,用户因过往失败或外界否定导致信心动摇，常表现为自我怀疑,将信心目标拆解为可执行步骤,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
擦拭信念,内在特质,坚固信心,用户因过往失败或外界否定导致信心动摇，常表现为自我怀疑,通过正向反馈强化信心,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
擦拭信念,内在特质,坚固信心,用户因过往失败或外界否定导致信心动摇，常表现为自我怀疑,实现信心建设的标志性事件,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
擦拭信念,内在特质,提醒坚持,用户因短期目标模糊或动力波动难以持续行动，常表现为行动中断,提醒自己能够坚持,认知重构-增强自信,2,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
擦拭信念,内在特质,提醒坚持,用户因短期目标模糊或动力波动难以持续行动，常表现为行动中断,明确坚持的长期价值与短期目标,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
擦拭信念,内在特质,提醒坚持,用户因短期目标模糊或动力波动难以持续行动，常表现为行动中断,通过每日微行动保持持续性,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
擦拭信念,内在特质,提醒坚持,用户因短期目标模糊或动力波动难以持续行动，常表现为行动中断,达成连续坚持的阶段性成果,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
擦拭信念,个人追求,坚持善良,用户因外界压力或自我怀疑偏离善良初心，常表现为行动犹豫,提醒自己有能力保持善良,认知重构-增强自信,3,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
擦拭信念,个人追求,坚持善良,用户因外界压力或自我怀疑偏离善良初心，常表现为行动犹豫,制定践行善良的具体行动方案,认知重构-目标具象化,3,"[简单-心念培育式,逻辑-心念培育式,简单-爱之循环式]",,,,,,,,,,,
擦拭信念,个人追求,坚持善良,用户因外界压力或自我怀疑偏离善良初心，常表现为行动犹豫,通过日常善举积累正向能量,行为驱动-提升行动力,3,"[简单-心念锚定式,逻辑-心念锚定式，简单-爱之循环式]",,,,,,,,,,,
擦拭信念,个人追求,坚持善良,用户因外界压力或自我怀疑偏离善良初心，常表现为行动犹豫,完成一次有影响力的善意行动,行为驱动-目标达成,3,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
擦拭信念,个人追求,追求理想,用户因现实阻力或自我怀疑偏离长期追求，常表现为动力不足,提醒自己有能力追求理想,认知重构-增强自信,3,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
擦拭信念,个人追求,追求理想,用户因现实阻力或自我怀疑偏离长期追求，常表现为动力不足,将理想转化为可落地的阶段性目标,认知重构-目标具象化,3,"[简单-心念培育式,逻辑-心念培育式,简单-爱之循环式]",,,,,,,,,,,
擦拭信念,个人追求,追求理想,用户因现实阻力或自我怀疑偏离长期追求，常表现为动力不足,通过持续行动接近理想,行为驱动-提升行动力,3,"[简单-心念锚定式,逻辑-心念锚定式，简单-爱之循环式]",,,,,,,,,,,
擦拭信念,个人追求,追求理想,用户因现实阻力或自我怀疑偏离长期追求，常表现为动力不足,完成理想推进的关键任务,行为驱动-目标达成,3,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
擦拭信念,个人追求,追求梦想,用户因现实阻力或自我怀疑偏离长期梦想，常表现为动力不足,提醒自己有能力逐梦,认知重构-增强自信,2,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
擦拭信念,个人追求,追求梦想,用户因现实阻力或自我怀疑偏离长期梦想，常表现为动力不足,明确梦想实现的路径与优先级,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式,简单-爱之循环式]",,,,,,,,,,,
擦拭信念,个人追求,追求梦想,用户因现实阻力或自我怀疑偏离长期梦想，常表现为动力不足,通过每日努力积累梦想资源,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
擦拭信念,个人追求,追求梦想,用户因现实阻力或自我怀疑偏离长期梦想，常表现为动力不足,达成梦想相关的里程碑事件,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
擦拭信念,个人追求,追求仁爱,用户因外界压力或自我怀疑偏离仁爱初心，常表现为行动犹豫,提醒自己有能力爱与被爱,认知重构-增强自信,3,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式，简单-爱之循环式]",,,,,,,,,,,
擦拭信念,个人追求,追求仁爱,用户因外界压力或自我怀疑偏离仁爱初心，常表现为行动犹豫,将“爱”的目标分解为可操作的表达方式,认知重构-目标具象化,3,"[简单-心念培育式,逻辑-心念培育式,简单-爱之循环式]",,,,,,,,,,,
擦拭信念,个人追求,追求仁爱,用户因外界压力或自我怀疑偏离仁爱初心，常表现为行动犹豫,通过主动关怀传递爱的能量,行为驱动-提升行动力,3,"[简单-心念锚定式,逻辑-心念锚定式，简单-爱之循环式]",,,,,,,,,,,
擦拭信念,个人追求,追求仁爱,用户因外界压力或自我怀疑偏离仁爱初心，常表现为行动犹豫,达成深化爱的关键行动（如长期陪伴）,行为驱动-目标达成,3,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
